,ticket,year,month,day,time,open,high,low,close,volume
13342,NVDA,2021,5,14,08:05:00,13.8552,13.8552,13.8427,13.8552,70040
13343,NVDA,2021,5,14,08:00:00,13.8846,13.8846,13.7983,13.8427,62040
13344,NVDA,2021,5,14,07:50:00,13.8427,13.8427,13.8427,13.8427,4000
13345,NVDA,2021,5,14,07:30:00,13.8427,13.8427,13.8427,13.8427,4000
13346,NVDA,2021,5,14,07:25:00,13.834,13.8364,13.834,13.8364,13440
13347,NVDA,2021,5,14,07:20:00,13.8462,13.8462,13.8377,13.8377,51200
13348,NVDA,2021,5,14,07:05:00,13.8714,13.8714,13.8714,13.8714,29120
13349,NVDA,2021,5,14,07:00:00,13.8402,13.8562,13.8402,13.8562,24840
13350,NVDA,2021,5,14,06:10:00,13.8427,13.8427,13.8427,13.8427,6040
13351,NVDA,2021,5,14,05:55:00,13.8427,13.8427,13.8427,13.8427,8000
13352,NVDA,2021,5,14,05:50:00,13.8676,13.8676,13.8552,13.8552,14800
13353,NVDA,2021,5,14,05:40:00,13.8701,13.8729,13.8427,13.8427,33440
13354,NVDA,2021,5,14,05:15:00,13.8951,13.9175,13.8951,13.9175,44280
13355,NVDA,2021,5,14,05:05:00,13.8596,13.8596,13.8596,13.8596,8000
13356,NVDA,2021,5,14,04:35:00,13.8479,13.8596,13.8474,13.8596,15400
13357,NVDA,2021,5,14,04:15:00,13.8058,13.8058,13.8058,13.8058,4480
13358,NVDA,2021,5,13,19:55:00,13.6432,13.6432,13.6432,13.6432,8800
13359,NVDA,2021,5,13,19:45:00,13.6334,13.6334,13.6334,13.6334,12000
13360,NVDA,2021,5,13,19:25:00,13.6244,13.6259,13.6244,13.6259,24000
13361,NVDA,2021,5,13,19:00:00,13.606,13.606,13.606,13.606,30000
13362,NVDA,2021,5,13,18:55:00,13.6182,13.6182,13.6182,13.6182,28000
13363,NVDA,2021,5,13,18:50:00,13.6132,13.6132,13.6132,13.6132,5560
13364,NVDA,2021,5,13,18:45:00,13.6157,13.6157,13.6157,13.6157,9640
13365,NVDA,2021,5,13,18:35:00,13.6157,13.6157,13.6157,13.6157,40000
13366,NVDA,2021,5,13,18:30:00,13.6175,13.6182,13.6175,13.6182,18600
13367,NVDA,2021,5,13,18:10:00,13.6332,13.6332,13.6332,13.6332,4000
13368,NVDA,2021,5,13,18:05:00,13.6269,13.6269,13.6269,13.6269,12240
13369,NVDA,2021,5,13,18:00:00,13.6207,13.6207,13.6207,13.6207,9200
13370,NVDA,2021,5,13,17:45:00,13.6175,13.6175,13.6175,13.6175,4000
13371,NVDA,2021,5,13,17:35:00,13.6132,13.6132,13.6132,13.6132,4000
13372,NVDA,2021,5,13,17:25:00,13.6247,13.6247,13.6247,13.6247,11720
13373,NVDA,2021,5,13,17:10:00,13.604,13.6047,13.604,13.6047,12000
13374,NVDA,2021,5,13,17:00:00,13.6334,13.6334,13.6334,13.6334,22000
